epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,194.328,0.78518,0.65247,0.44327,0.0023,0.34045,0.95691,0.9142,0.94027,0.79915,0.95691,0.9142,0.94027,0.74973,0.77824,0.91057,0.59189,0.00355,0,0.000915875,0.000915875,0.000915875
29,201.986,0.74848,0.63734,0.43866,0.00228,0.32916,0.91166,0.8875,0.9131,0.75264,0.91166,0.8875,0.9131,0.70364,0.86724,0.91522,0.65761,0.00387,0,0.0009035,0.0009035,0.0009035
30,208.242,0.81488,0.61877,0.36947,0.0027,0.271,0.86649,0.82824,0.91223,0.74333,0.86649,0.82824,0.91473,0.69313,0.86854,0.95408,0.78541,0.00361,0,0.000891125,0.000891125,0.000891125
31,214.463,0.82999,0.56314,0.38824,0.00259,0.24516,0.87419,0.84399,0.92226,0.74767,0.87419,0.84399,0.92226,0.70466,0.87037,1.08819,0.82755,0.00401,0,0.00087875,0.00087875,0.00087875
32,220.709,0.76692,0.62303,0.33451,0.00231,0.24012,0.96346,0.84581,0.90875,0.73521,0.96346,0.84581,0.90875,0.67571,0.96985,1.18154,0.8568,0.00414,0,0.000866375,0.000866375,0.000866375
33,226.945,0.74978,0.60225,0.33509,0.00219,0.22251,0.92625,0.84932,0.89227,0.72922,0.92625,0.84932,0.89227,0.69979,0.88246,1.05082,1.18421,0.00356,0,0.000854,0.000854,0.000854
34,233.178,0.78971,0.59823,0.36319,0.00222,0.19947,0.88126,0.90629,0.91011,0.746,0.88126,0.90629,0.91011,0.73047,0.86866,0.99248,0.99214,0.00363,0,0.000841625,0.000841625,0.000841625
35,239.45,0.75227,0.59699,0.32503,0.00235,0.19398,0.96188,0.85152,0.91663,0.7587,0.96188,0.85152,0.90913,0.68202,0.89481,1.03573,0.87772,0.00396,0,0.00082925,0.00082925,0.00082925
36,245.808,0.76922,0.57949,0.3268,0.00246,0.18144,0.93495,0.88257,0.91001,0.77077,0.93495,0.88257,0.91001,0.69175,0.85811,1.0325,0.87104,0.0035,0,0.000816875,0.000816875,0.000816875
37,252.075,0.73413,0.53784,0.32549,0.00239,0.18216,0.954,0.887,0.91494,0.78914,0.954,0.887,0.91494,0.71325,0.84467,0.99491,0.76287,0.00391,0,0.0008045,0.0008045,0.0008045
38,258.325,0.7283,0.5184,0.28934,0.00251,0.1827,0.94242,0.88945,0.91465,0.7761,0.94242,0.88945,0.91465,0.72697,0.81826,0.97784,0.75802,0.00379,0,0.000792125,0.000792125,0.000792125
39,264.616,0.69705,0.57205,0.30661,0.00209,0.1767,0.94297,0.9056,0.91933,0.79378,0.94297,0.9056,0.91933,0.72862,0.75917,0.89833,0.76033,0.00359,0,0.00077975,0.00077975,0.00077975
40,270.935,0.7058,0.51334,0.30688,0.00222,0.17824,0.95664,0.90896,0.91258,0.77431,0.95664,0.90896,0.91258,0.71501,0.81375,0.87153,0.73107,0.00361,0,0.000767375,0.000767375,0.000767375
41,277.196,0.67216,0.52063,0.30331,0.00207,0.17061,0.96799,0.89748,0.92356,0.77948,0.96799,0.89748,0.92356,0.72664,0.81114,0.85871,0.68122,0.00353,0,0.000755,0.000755,0.000755
42,283.43,0.63618,0.51782,0.28391,0.00186,0.16743,0.96225,0.90108,0.91994,0.78392,0.96225,0.90108,0.91994,0.7333,0.73135,0.82265,0.69429,0.003,0,0.000742625,0.000742625,0.000742625
43,289.731,0.6248,0.50666,0.25975,0.00174,0.15014,0.96429,0.86704,0.90165,0.77262,0.96429,0.86704,0.90165,0.7192,0.79335,0.91763,0.74457,0.00325,0,0.00073025,0.00073025,0.00073025
44,296.003,0.60376,0.50694,0.29523,0.00171,0.15499,0.94149,0.88242,0.89354,0.76678,0.94149,0.88242,0.89354,0.71459,0.78439,0.94176,0.76443,0.00326,0,0.000717875,0.000717875,0.000717875
45,302.263,0.61165,0.49765,0.27315,0.00181,0.15915,0.97147,0.86673,0.89753,0.76528,0.97147,0.86673,0.89753,0.71617,0.77483,0.89767,0.86117,0.00344,0,0.0007055,0.0007055,0.0007055
46,308.52,0.63992,0.52107,0.27167,0.0019,0.15261,0.96025,0.84232,0.90368,0.76408,0.96025,0.84232,0.90368,0.71898,0.77059,0.86091,0.83603,0.00361,0,0.000693125,0.000693125,0.000693125
47,314.786,0.60012,0.4904,0.25714,0.00176,0.15549,0.95946,0.85431,0.91074,0.77244,0.95946,0.85431,0.91074,0.71688,0.74114,0.79876,0.803,0.00317,0,0.00068075,0.00068075,0.00068075
48,321.012,0.58923,0.48656,0.2353,0.00175,0.15271,0.94536,0.875,0.9132,0.78552,0.94536,0.875,0.9132,0.71547,0.7558,0.84801,0.75482,0.00319,0,0.000668375,0.000668375,0.000668375
